model,asset,MSE,MAE,RMSE,HedgingError,Sharpe(errors),Sortino(errors),Turnover,Sharpe(PnL),Sortino(PnL),N
crosslite,TLT,8.589809638352984e-05,0.007551187983906926,0.009268122592172044,0.008724386424926721,0.3585131434499207,0.70181290566158,6.572570780065004e-05,-0.10907963390697303,-0.20418331322733868,924
crosslite,IEF,2.1826741549326844e-05,0.003721286923668831,0.004671909839597383,0.004118300393004252,-0.5356527708589972,-0.701562963804078,2.2959691440953408e-05,1.344023087103379,2.449178956784393,924
crosslite,LQD,5.8713796334683015e-05,0.006292533768203462,0.0076624928277084225,0.004879073300088736,-1.2109546476531166,-1.3076583201231113,2.5530212784398707e-05,1.1330314303934006,1.7642100072778275,924
crosslite,HYG,4.0258001987426716e-05,0.005350032247056278,0.006344919383839854,0.004217253210551978,1.1240838207611827,3.031257686583077,2.6853417768147352e-05,-1.1779988921002833,-1.7656159798958069,924
crosslite,GLD,0.00017016500248176074,0.010194375583939392,0.013044730832093116,0.012400613869247687,-0.3264700553507892,-0.4817031247219267,1.9439819826652215e-05,1.614816034764718,3.006268956457086,924
crosslite,DBC,0.00018608028673691352,0.010619600928517315,0.013641124834005204,0.01094209948479806,-0.7444272199753873,-0.8997490033895444,3.711997833152764e-05,-0.16045345417970577,-0.24512236036340818,924
crosslite,VNQ,0.00015803281977685995,0.009258487302932902,0.012571110522816191,0.012204656340434048,0.2468867821092099,0.4281195130512831,5.447716543878658e-05,-0.011917617571499716,-0.020563843209903888,924
crosslite,EFA,0.00017336453849321778,0.008548025237316018,0.013166796819774267,0.012619315936499322,-0.297743030809795,-0.42256035321837393,2.6891980823401952e-05,1.4081273665056129,2.316296865357213,924
crosslite,EEM,0.00016719150915972918,0.008385527561396103,0.012930255572096368,0.012603339552247957,-0.22923896992303913,-0.33289573356832963,3.389807226435535e-05,1.4754558757495295,2.4474601417831905,924
pointwise,SPY,0.00026536497877234565,0.010157455209314933,0.016290026972732293,0.015223668379774685,-0.38078688982031395,-0.5350897736650708,0.0003557712838569881,0.5335980320974558,0.8694436544306287,924
pointwise,QQQ,0.000318690351119852,0.010775121695389609,0.017851900490419837,0.017720541215292422,-0.12198606662747828,-0.18690711635928997,0.0006201925487107259,0.600019470233644,0.9681738641371234,924
pointwise,IWM,0.00026802704314151526,0.011565831243416667,0.01637153148430272,0.016307853681897518,0.0884573991207647,0.14929634849886464,0.0007023050269122426,0.15520602570168682,0.259736907683463,924
pointwise,TLT,0.00012557575115777224,0.008828825524209957,0.011206058680810673,0.008721855172026385,-0.8067066427655768,-0.9319200572251385,0.00019783806229685806,0.11009068612915307,0.17562793132163454,924
pointwise,IEF,5.0345546343878395e-05,0.006055482254469696,0.00709545955832872,0.004140318096338701,1.3917364350392312,8.326000730813716,0.0006327860637053087,-1.3007710275894173,-2.1642346949341755,924
pointwise,LQD,0.00012395843410121601,0.01009664522805195,0.011133662205277112,0.004899396693947407,-2.040601663993589,-2.0986519410638853,0.0005755789674972914,1.139176735518757,1.7716845717476213,924
pointwise,HYG,4.061030945405458e-05,0.005281851921666666,0.006372621866551834,0.004222453234143296,-1.1303773128110879,-1.4054392897083807,0.0002515279279523294,1.1928607340912911,1.962466925785258,924
pointwise,GLD,0.00016357406861942426,0.009955368353852816,0.012789607836811271,0.012401587019664892,-0.25210103669566364,-0.38456458823729656,0.0001523809702058505,1.6059493709684665,2.986484738682643,924
pointwise,DBC,0.0001224959187002064,0.007838071818963744,0.011067787434722733,0.010964463363549606,-0.13760772264624166,-0.1999738592613377,0.0008209904747573131,-0.1267043572052686,-0.18746123387889624,924
pointwise,VNQ,0.00016829162725707958,0.009791003462992423,0.012972726284674304,0.012338997123567326,0.32458828473732715,0.5859975019207114,0.002251337276626219,0.02256180028679011,0.0408996663042541,924
pointwise,EFA,0.00019254298413754278,0.009431508975735931,0.013875985879840855,0.012618477269106237,-0.4574315294962723,-0.6196264534283917,0.00013196877009750814,1.4108341599502618,2.321056754155017,924
pointwise,EEM,0.00018964277043709155,0.009831091918290045,0.013771084577370496,0.012611415740407578,0.43859242516853064,0.853045652672748,0.0013158658099024917,-1.3319032641422244,-2.068059773828829,924
