epoch,split,loss_total,loss_pred_mse,loss_hjm_drift,loss_ito,mse,mae,rmse,hjm_violation_rate,lr,grad_norm,wall_time_s
50,train,2.0269077557221908e-05,1.3513126822513656e-05,3.3316801075843303e-07,0.00013445267867264818,1.3513126822513656e-05,0.002887015652457445,0.00364373998459557,0.08588661595472488,0.0003,0.027755731588293767,95.08569598197937
51,train,2.2557611199084505e-05,1.6072622837123945e-05,3.878814224294572e-07,0.0001289240043943523,1.6072622837123945e-05,0.00314250852157972,0.003947360693990928,0.10928819646480782,0.0003,0.03143196146742537,95.36439156532288
52,train,1.822890155468399e-05,1.2097462590175163e-05,2.9554119960501903e-07,0.00012203769689096652,1.2097462590175163e-05,0.0027296468374672636,0.003445880981322763,0.06948934533986552,0.0003,0.026045671487548227,95.87818455696106
53,train,1.807868820029743e-05,1.2243109981211781e-05,3.609160663817702e-07,0.00011598973224894947,1.2243109981211781e-05,0.002709483834192285,0.0034426075069169545,0.08986470498273084,0.0003,0.026472449463246197,97.89924716949463
54,train,2.2031868615112535e-05,1.6325298827660876e-05,4.228370846409893e-07,0.00011328572157975126,1.6325298827660876e-05,0.003152377192926561,0.0039909602271328715,0.1193277084124114,0.0003,0.03272532581769187,97.30378365516663
55,train,1.7046674614229868e-05,1.1727198633362323e-05,2.949107901638948e-07,0.00010579969803702312,1.1727198633362323e-05,0.0026853453199347033,0.003388531333445732,0.07479047049479239,0.0003,0.02639002099247842,94.50775051116943
56,train,1.4862170089127235e-05,9.776606122676609e-06,2.2790517549792795e-07,0.00010125546897801666,9.776606122676609e-06,0.002463542073483354,0.003102225331782267,0.04791367435747565,0.0003,0.023164568741902196,95.64689946174622
57,train,1.6716922617842423e-05,1.1775625917552729e-05,3.2638357990224213e-07,9.817316684598939e-05,1.1775625917552729e-05,0.0026876438360918186,0.0033767750157557173,0.08059147657858658,0.0003,0.026627557544872678,96.43098163604736
58,train,1.6372326529069048e-05,1.1640864597901437e-05,2.9984029432508296e-07,9.402955803470204e-05,1.1640864597901437e-05,0.0026944324651187092,0.003366518051138726,0.07241678799719325,0.0003,0.026393444566377277,94.95131397247314
59,train,1.3766443906004022e-05,9.235986594987856e-06,2.223489008544816e-07,9.016444841861436e-05,9.235986594987856e-06,0.002372137252803378,0.002995250072201778,0.04187320452986349,0.0003,0.02157653412171479,99.5249183177948
60,train,1.4584844359028916e-05,1.0238596516877617e-05,2.559041320917631e-07,8.641314857884245e-05,1.0238596516877617e-05,0.002521955380055668,0.00316255797375122,0.05666008238993778,0.0003,0.023551636696632565,96.76406764984131
61,train,1.7298113575835402e-05,1.3001748600110094e-05,3.8872675144696995e-07,8.514984601161217e-05,1.3001748600110094e-05,0.0028505860827863216,0.003578001099381724,0.09978149111928611,0.0003,0.028204964441729003,98.49545645713806
62,train,1.859838772826438e-05,1.4447944757758424e-05,4.466499277100411e-07,8.211555955469897e-05,1.4447944757758424e-05,0.0029893868747327863,0.0037586548815256565,0.1231681063835477,0.0003,0.03009427563640578,95.95816254615784
63,train,1.4644769457720587e-05,1.0706245159875333e-05,2.4886252347755544e-07,7.827276090994992e-05,1.0706245159875333e-05,0.0025329406188544013,0.003194590681232512,0.05471743339399711,0.0003,0.02308263901043041,95.46013760566711
64,train,1.5183989554168716e-05,1.139073048040606e-05,2.470528527194817e-07,7.537107576981412e-05,1.139073048040606e-05,0.002628174405705569,0.003317985322390651,0.046872007680639365,0.0003,0.02509145143217054,96.40982246398926
65,train,1.426639290844021e-05,1.0610876792082403e-05,3.233666977711562e-07,7.246358893161383e-05,1.0610876792082403e-05,0.0025255508692774535,0.003208032720882831,0.07485632345698581,0.0003,0.023998897651146198,95.2637631893158
66,train,1.3074373078556447e-05,9.575852612309472e-06,2.1767784938549148e-07,6.953505362616852e-05,9.575852612309472e-06,0.002417488386934816,0.0030695468685108013,0.03816151919830912,0.0003,0.023196048922194488,96.3572325706482
67,train,1.2117277707642318e-05,8.66968455205818e-06,1.981962417021115e-07,6.855547062827852e-05,8.66968455205818e-06,0.0023235060105999484,0.0029163271839056037,0.032246767717879266,0.0003,0.02125636184716533,95.99199271202087
68,train,1.5005234841717456e-05,1.1633574833216824e-05,3.259181613020309e-07,6.678136384740858e-05,1.1633574833216824e-05,0.002685159436780317,0.003374309588127352,0.08387212797292862,0.0003,0.02684605067017777,97.11467742919922
69,train,1.3523687975765206e-05,1.0226198606562384e-05,3.298381994811499e-07,6.529011098509414e-05,1.0226198606562384e-05,0.002478360597863151,0.0031317348335066744,0.07898707010638739,0.0003,0.024138784806790024,96.14897131919861
70,train,1.1866807660511873e-05,8.763887257342064e-06,1.8831176777310029e-07,6.168178452784999e-05,8.763887257342064e-06,0.002347311350227944,0.0029268178382310375,0.03054358292138204,0.0003,0.022307878376209532,97.0797917842865
71,train,1.2053844446068617e-05,8.997812379863623e-06,2.0891411867884518e-07,6.070281308674221e-05,8.997812379863623e-06,0.0023589279695317663,0.002974721490694531,0.03661398527389071,0.0003,0.022356588923340213,96.8434727191925
72,train,1.4510845923377084e-05,1.142602263042073e-05,2.834751432517194e-07,6.112951557262367e-05,1.142602263042073e-05,0.0026401414451638944,0.0033167707011232087,0.07215337725837939,0.0003,0.025992788133564693,96.31700873374939
73,train,1.24573934283514e-05,9.540143968604689e-06,2.7442988424248706e-07,5.779612942644925e-05,9.540143968604689e-06,0.002401353393938264,0.0030471406403350934,0.06357459384337838,0.0003,0.0231874149999228,95.17943859100342
74,train,1.4110560345537532e-05,1.1242893261341719e-05,2.64008061266991e-07,5.682532556138226e-05,1.1242893261341719e-05,0.0025820626198827966,0.0032747462030564404,0.06394875623839746,0.0003,0.025367258389576756,95.32500457763672
75,train,8.575902059739103e-06,5.913017009239913e-06,1.4973758227213316e-07,5.2958225845439555e-05,5.913017009239913e-06,0.0019172947825703386,0.002420497765154417,0.019465397830635053,0.0003,0.014778388487496253,97.09801125526428
76,train,1.1692512623454342e-05,9.025919145391652e-06,2.1521091961391966e-07,5.290144772202595e-05,9.025919145391652e-06,0.0023607722571890415,0.0029764510610879496,0.04000239527848517,0.0003,0.021745212038914705,95.55389165878296
77,train,1.258302944804488e-05,9.936316865636839e-06,2.5755015530221654e-07,5.241915133755638e-05,9.936316865636839e-06,0.002480557212477614,0.003126525653301385,0.05469049426028505,0.0003,0.023270769542532748,95.8048324584961
78,train,1.5338681361621138e-05,1.2721265365739938e-05,3.176914995900257e-07,5.1712936918443906e-05,1.2721265365739938e-05,0.002822201486259442,0.0035026320416865677,0.07577227130692837,0.0003,0.027420652323755724,97.6805636882782
79,train,1.2122026917538165e-05,9.639640415241893e-06,2.7840579741972104e-07,4.909091845108598e-05,9.639640415241893e-06,0.0024280908762413108,0.0030636273581406167,0.06382004356670097,0.0003,0.022907965254552406,98.28279972076416
80,train,1.1487467625658182e-05,9.138979278539974e-06,2.7748329439555947e-07,4.6414800353573055e-05,9.138979278539974e-06,0.002339230992847347,0.0029691219418149055,0.059794062471563186,0.0003,0.021783150555887098,95.56267476081848
81,train,1.1306065493966771e-05,8.948397603960294e-06,2.174075659117283e-07,4.671854266830607e-05,8.948397603960294e-06,0.0023395070858331845,0.0029510095522835337,0.03825431121392818,0.0003,0.021798291516586625,95.76671195030212
82,train,8.992375050184399e-06,6.795486820794457e-06,1.5523357214223765e-07,4.3627297443514366e-05,6.795486820794457e-06,0.002037841377073321,0.002585391923464064,0.016627754098816037,0.0003,0.01738323096250152,97.51594257354736
83,train,1.16614142000991e-05,9.431241284707131e-06,2.2368373636097736e-07,4.4156090835117384e-05,9.431241284707131e-06,0.002375488071140416,0.0030287403396555574,0.04176544630097161,0.0003,0.02263078217169848,95.57181072235107
84,train,1.0156752707158916e-05,7.998474584696695e-06,2.2765237505068554e-07,4.2710257699143074e-05,7.998474584696695e-06,0.0022144931356486834,0.002798276042148214,0.04540828640717242,0.0003,0.020459393938553744,95.10555577278137
85,train,9.898722802332302e-06,7.742779075670114e-06,1.6701678213617642e-07,4.27848409689714e-05,7.742779075670114e-06,0.0021640305218672187,0.0027299515264718956,0.024530053124682785,0.0003,0.019805029018557276,95.6690502166748
86,train,9.049015762154854e-06,6.95186857009158e-06,1.5872669701205519e-07,4.162549044724136e-05,6.95186857009158e-06,0.00205807891826884,0.002608373955871653,0.021126676372910755,0.0003,0.019126116860144097,96.4185733795166
87,train,1.0376462220834085e-05,8.29320493596305e-06,2.4720525213058017e-07,4.117073519315956e-05,8.29320493596305e-06,0.002283449541648914,0.002855051694245174,0.052565254654398125,0.0003,0.021963879080681967,96.25343036651611
88,train,9.254748152561279e-06,7.218944731370169e-06,1.7688190743520973e-07,4.0362304608951775e-05,7.218944731370169e-06,0.0020878117888812617,0.0026568537939275646,0.029310345176029307,0.0003,0.019465862869702536,97.7638750076294
89,train,9.007939122765334e-06,7.0281712435738384e-06,1.8574836118265748e-07,3.92238608614646e-05,7.0281712435738384e-06,0.0020605388763842397,0.0026151485889668352,0.023126197659715624,0.0003,0.018627323057695197,96.54590249061584
90,train,1.0871875946925759e-05,8.84544180797971e-06,2.832931612513691e-07,3.996209645641823e-05,8.84544180797971e-06,0.002328944659454684,0.002944018880451291,0.06496048956137986,0.0003,0.02258669992844606,95.90386843681335
91,train,1.232753932421374e-05,1.0357455000209075e-05,2.539525404678255e-07,3.8893781399157634e-05,1.0357455000209075e-05,0.0025382304849135206,0.0031673317646671987,0.05198754862970512,0.0003,0.025030029744937503,96.74746203422546
92,train,9.886528657567094e-06,7.963162441479528e-06,1.8421255460495935e-07,3.809889921254141e-05,7.963162441479528e-06,0.002215229207649827,0.0027920550361661047,0.028819445030892205,0.0003,0.020449253537788474,97.05549192428589
93,train,1.038100975317099e-05,8.470647148426686e-06,2.5278173289432836e-07,3.770168862909737e-05,8.470647148426686e-06,0.0022684324127300805,0.0028726726706171856,0.05231980475645255,0.0003,0.02138492829519613,98.54855561256409
94,train,1.0636372073848627e-05,8.788224931777222e-06,2.2778853169985927e-07,3.650736577802836e-05,8.788224931777222e-06,0.0023328981900202304,0.0029309301171451807,0.04988026915013726,0.0003,0.021989626504866213,97.38092041015625
95,train,1.0531622325344345e-05,8.743284752199543e-06,2.248384513665832e-07,3.531707456016287e-05,8.743284752199543e-06,0.002319806470166378,0.002924549036081238,0.04771611679762859,0.0003,0.021190500657620102,97.04373741149902
96,train,1.1559784662149115e-05,9.767954695454481e-06,2.6556486897655713e-07,3.530546959593956e-05,9.767954695454481e-06,0.002469344919643782,0.003099990904266978,0.05559446956512743,0.0003,0.023295876586103235,97.30658960342407
97,train,9.985743031454466e-06,8.310901821146373e-06,1.9786069059031088e-07,3.310110282498123e-05,8.310901821146373e-06,0.002279684561754352,0.002847901974997387,0.033291427733713824,0.0003,0.021268144442603505,96.18024396896362
98,train,1.1478064912420282e-05,9.80757808661267e-06,2.1106025139100234e-07,3.298761601337023e-05,9.80757808661267e-06,0.0024783608407295986,0.003094910712238273,0.04146910995517954,0.0003,0.024045330584691518,99.2201795578003
99,train,8.91305839628058e-06,7.265125379396115e-06,1.6169346554404692e-07,3.263527340660121e-05,7.265125379396115e-06,0.002108630330847769,0.0026694070427389495,0.02024066131080276,0.0003,0.01906622095226214,96.17844152450562
100,train,1.1964539185698711e-05,1.033944273989744e-05,3.65210220624688e-07,3.1771508474776056e-05,1.033944273989744e-05,0.002478638659873656,0.0031514243616176576,0.08951448802314378,0.0003,0.025077823902769334,98.05384182929993
1,train,5.650468444127734,0.11144342072757668,55.39025023400157,0.0,0.11144342072757668,0.1511563801302992,0.20054188627621222,0.9743923750416986,0.0003,138.87994568769275,99.82475638389587
2,train,0.0037230648401450238,0.0035418482248446553,0.0018121661530036864,0.0,0.0035418482248446553,0.047304094030425466,0.05935483528622266,0.9400203690446657,0.0003,0.24319121742556835,105.00329375267029
3,train,0.002543658030707116,0.002454948960803449,0.0008870906990366699,0.0,0.002454948960803449,0.03949132259806682,0.04944726259543978,0.9179897154199665,0.0003,0.1927956468586264,94.63876271247864
4,train,0.001985513770266372,0.0019340693091588288,0.0005144446110754306,0.0,0.0019340693091588288,0.03505641478916694,0.04392751614595282,0.8942409106369676,0.0003,0.18109666389124146,97.52195572853088
5,train,0.0015794193987325154,0.0015441555979436841,0.0003526380078883135,0.0,0.0015441555979436841,0.03126708864523419,0.03924663981487011,0.8771312401212495,0.0003,0.17047853318267855,96.66663002967834
6,train,0.0012182909156826067,0.0011963395558393978,0.00021951359843209,0.0,0.0011963395558393978,0.027510984800755978,0.03453879000554825,0.8382842530464304,0.0003,0.14706543139342604,95.15423536300659
7,train,0.0010882974189685072,0.0010703093289991777,0.00017988089969329504,0.0,0.0010703093289991777,0.0260990166330132,0.03263572654847441,0.8238236472524446,0.0003,0.18066493010726467,94.35016131401062
8,train,0.0007933543342319196,0.0007818130342739409,0.00011541299957978732,0.0,0.0007818130342739409,0.02226093854626705,0.027855197192522985,0.7709860072053712,0.0003,0.1399860606882079,94.95311284065247
9,train,0.0006356263694685586,0.0006287419463002026,6.884423168356016e-05,0.0,0.0006287419463002026,0.01993820967216944,0.025025187124466074,0.7364224257140324,0.0003,0.13435343794267754,109.40919589996338
10,train,0.0005138213087336445,0.0005094503034468226,4.371005286821887e-05,0.0,0.0005094503034468226,0.017988829953788685,0.022496295193659848,0.6809147616912579,0.0003,0.12620008030328259,100.9350266456604
11,train,0.00041106282172316647,0.00040775377369598197,3.3090480271845266e-05,0.0,0.00040775377369598197,0.016046574146583163,0.020146531598835157,0.6489523567002395,0.0003,0.1131232217724981,94.79694819450378
12,train,0.0003631358843104581,0.000360048288712278,3.0875955981800555e-05,0.0,0.000360048288712278,0.01513975063852709,0.018934288415415532,0.6321749430278252,0.0003,0.11760512726574109,96.86616706848145
13,train,0.00026964184995010546,0.0002678450327948667,1.796817155238763e-05,0.0,0.0002678450327948667,0.013050584234939567,0.016321903656654316,0.5687410286788283,0.0003,0.09180891584476521,98.60453176498413
14,train,0.0002529079075633615,0.0002511272436220616,1.7806639412999082e-05,0.0,0.0002511272436220616,0.012637083707698461,0.015783693577195036,0.5751406966612257,0.0003,0.09820390711056776,96.29068398475647
15,train,0.0002158383859938928,0.00021455461156337746,1.2837744305153168e-05,0.0,0.00021455461156337746,0.011680710996533263,0.014623286764554936,0.5383381314318756,0.0003,0.09268021159644785,94.40345525741577
16,train,0.0001933519708653217,0.00019246183440153455,8.901364637871477e-06,0.0,0.00019246183440153455,0.011021174811597529,0.013815254342324775,0.5059057838957886,0.0003,0.08922338350836573,95.99355959892273
17,train,0.00015670232686057592,0.00015596161242213165,7.407144384442604e-06,0.0,0.00015596161242213165,0.009948508492831526,0.012447364644372258,0.49675527677453796,0.0003,0.07728292381968992,96.40811061859131
18,train,0.0001650831158356376,0.00016422035571003076,8.627601256068437e-06,0.0,0.00016422035571003076,0.01020904073234776,0.012746973364646065,0.5079591818924608,0.0003,0.08767913513142488,94.64112114906311
19,train,0.00013915569026392343,0.00013833899306362206,8.166972003013582e-06,0.0,0.00013833899306362206,0.009382630770640641,0.011706116866191914,0.483946965172373,0.0003,0.07934449690169301,95.39895939826965
20,train,0.00011674225183649719,0.00011624139118919566,5.0086064730153185e-06,0.0,0.00011624139118919566,0.008547131140748489,0.010716310349004022,0.4540858530792697,0.0003,0.06974884173993406,97.04542469978333
