epoch,split,loss_total,loss_pred_wr,loss_pred_rmse,loss_noarb_bfly,loss_noarb_cal,loss_param_l2,lr,grad_norm,batches,wall_time_s,hit_a_lo,hit_a_hi,hit_b_lo,hit_b_hi,hit_rho_lo,hit_rho_hi,hit_m_lo,hit_m_hi,hit_sigma_lo,hit_sigma_hi
25,val,0.2500998303294182,0.2400975525379181,0.24485766887664795,0.0,0.0,0.010002275928854942,0.00015085714285714285,,2,2.257658899994567,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,train,0.2250828551394599,0.21430002578667232,0.21746931757245744,3.8571864178850645e-07,0.0007759441006263452,0.010006116170968329,0.00015685714285714286,0.003906,7,18.415658999991138,0.26721939018794466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,val,0.2550451010465622,0.24503738433122635,0.24889977276325226,0.0,0.0,0.010007718577980995,0.00015685714285714286,,2,2.8612180999916745,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,train,0.23250436782836914,0.2211004900080817,0.223685445530074,0.0,0.001392764159910647,0.010011116707963603,0.00016285714285714284,0.003906,7,19.666431600009673,0.0685586759022304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,val,0.24802790582180023,0.23801515996456146,0.24460971355438232,0.0,0.0,0.010012740269303322,0.00016285714285714284,,2,2.479502499991213,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,train,0.22451845024313247,0.21385275891848973,0.21646652902875627,0.0,0.0006513738688746733,0.0100143128739936,0.00016885714285714282,0.003906,7,19.761035800009267,0.029336735606193542,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,val,0.2561819553375244,0.24616658687591553,0.2542263939976692,0.0,0.0,0.01001537311822176,0.00016885714285714282,,2,2.577622500000871,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,train,0.22650614167962754,0.21561924261706217,0.218348571232387,0.0,0.0008702699997229502,0.010016632665480887,0.00017485714285714283,0.003906,7,20.84025649999967,0.011160714285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,val,0.24763602018356323,0.23761963844299316,0.2432962954044342,0.0,0.0,0.010016384534537792,0.00017485714285714283,,2,2.7481700999924215,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,train,0.2108642395053591,0.20009478500911168,0.20305428547518595,0.0,0.0007483657734285641,0.010021085584802287,0.00018085714285714284,0.003906,7,19.808922700001858,0.002232142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,val,0.2808193936944008,0.2707964554429054,0.2721862345933914,0.0,0.0,0.010022943839430809,0.00018085714285714284,,2,2.6754417000047397,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,train,0.24415106007031032,0.23302837141922542,0.23489509522914886,0.0,0.001101456249931029,0.0100212355277368,0.00018685714285714285,0.003906,7,20.500645399995847,0.15593113218035018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,val,0.2808791548013687,0.27086155116558075,0.2804146111011505,0.0,0.0,0.010017592459917068,0.00018685714285714285,,2,2.563341400003992,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
